interval_start,fueltech,fueltech_label,power_mw,year,hour,month,day
2024-08-19 06:00:00,battery,Battery,4.943808,2024,6,8,19
2024-08-19 07:00:00,battery,Battery,15.269817,2024,7,8,19
2024-08-19 08:00:00,battery,Battery,-0.467792,2024,8,8,19
2024-08-19 09:00:00,battery,Battery,-9.179508,2024,9,8,19
2024-08-19 10:00:00,battery,Battery,-44.641683,2024,10,8,19
2024-08-19 11:00:00,battery,Battery,-30.100775,2024,11,8,19
2024-08-19 12:00:00,battery,Battery,-25.934725,2024,12,8,19
2024-08-19 13:00:00,battery,Battery,-5.370033,2024,13,8,19
2024-08-19 14:00:00,battery,Battery,-1.5653,2024,14,8,19
2024-08-19 15:00:00,battery,Battery,-3.873908,2024,15,8,19
2024-08-19 16:00:00,battery,Battery,-0.223942,2024,16,8,19
2024-08-19 17:00:00,battery,Battery,1.217267,2024,17,8,19
2024-08-19 18:00:00,battery,Battery,30.6411,2024,18,8,19
2024-08-19 19:00:00,battery,Battery,0.148783,2024,19,8,19
2024-08-19 20:00:00,battery,Battery,29.651683,2024,20,8,19
2024-08-19 21:00:00,battery,Battery,41.805625,2024,21,8,19
2024-08-19 22:00:00,battery,Battery,0.108125,2024,22,8,19
2024-08-19 23:00:00,battery,Battery,-11.322842,2024,23,8,19
2024-08-20 00:00:00,battery,Battery,-21.073967,2024,0,8,20
2024-08-20 01:00:00,battery,Battery,-6.963242,2024,1,8,20
2024-08-20 02:00:00,battery,Battery,-4.055933,2024,2,8,20
2024-08-20 03:00:00,battery,Battery,-0.976033,2024,3,8,20
2024-08-20 04:00:00,battery,Battery,-0.871908,2024,4,8,20
2024-08-20 05:00:00,battery,Battery,-1.488942,2024,5,8,20
2024-08-20 06:00:00,battery,Battery,0.892425,2024,6,8,20
2024-08-20 07:00:00,battery,Battery,8.564425,2024,7,8,20
2024-08-20 08:00:00,battery,Battery,-0.917642,2024,8,8,20
2024-08-20 09:00:00,battery,Battery,1.450508,2024,9,8,20
2024-08-20 10:00:00,battery,Battery,-2.925392,2024,10,8,20
2024-08-20 11:00:00,battery,Battery,-22.7465,2024,11,8,20
2024-08-20 12:00:00,battery,Battery,-22.905392,2024,12,8,20
2024-08-20 13:00:00,battery,Battery,-38.929833,2024,13,8,20
2024-08-20 14:00:00,battery,Battery,-11.349517,2024,14,8,20
2024-08-20 15:00:00,battery,Battery,2.0872,2024,15,8,20
2024-08-20 16:00:00,battery,Battery,-6.626667,2024,16,8,20
2024-08-20 17:00:00,battery,Battery,12.659642,2024,17,8,20
2024-08-20 18:00:00,battery,Battery,56.208475,2024,18,8,20
2024-08-20 19:00:00,battery,Battery,32.0163,2024,19,8,20
2024-08-20 20:00:00,battery,Battery,0.854933,2024,20,8,20
2024-08-20 21:00:00,battery,Battery,2.878658,2024,21,8,20
2024-08-20 22:00:00,battery,Battery,0.2832,2024,22,8,20
2024-08-20 23:00:00,battery,Battery,-0.500058,2024,23,8,20
2024-08-21 00:00:00,battery,Battery,-3.932408,2024,0,8,21
2024-08-21 01:00:00,battery,Battery,0.493975,2024,1,8,21
2024-08-21 02:00:00,battery,Battery,-4.21325,2024,2,8,21
2024-08-21 03:00:00,battery,Battery,-14.687408,2024,3,8,21
2024-08-21 04:00:00,battery,Battery,-4.50635,2024,4,8,21
2024-08-21 05:00:00,battery,Battery,0.092633,2024,5,8,21
2024-08-21 06:00:00,battery,Battery,4.943708,2024,6,8,21
2024-08-21 07:00:00,battery,Battery,18.950242,2024,7,8,21
2024-08-21 08:00:00,battery,Battery,-2.10205,2024,8,8,21
2024-08-21 09:00:00,battery,Battery,-2.514133,2024,9,8,21
2024-08-21 10:00:00,battery,Battery,-38.677525,2024,10,8,21
2024-08-21 11:00:00,battery,Battery,-17.162933,2024,11,8,21
2024-08-21 12:00:00,battery,Battery,-30.824792,2024,12,8,21
2024-08-21 13:00:00,battery,Battery,-33.9698,2024,13,8,21
2024-08-21 14:00:00,battery,Battery,-18.828933,2024,14,8,21
2024-08-21 15:00:00,battery,Battery,0.823558,2024,15,8,21
2024-08-21 16:00:00,battery,Battery,1.689408,2024,16,8,21
2024-08-21 17:00:00,battery,Battery,26.568042,2024,17,8,21
2024-08-21 18:00:00,battery,Battery,50.891533,2024,18,8,21
2024-08-21 19:00:00,battery,Battery,16.531067,2024,19,8,21
2024-08-21 20:00:00,battery,Battery,-1.684025,2024,20,8,21
2024-08-21 21:00:00,battery,Battery,-16.9341,2024,21,8,21
2024-08-21 22:00:00,battery,Battery,0.396125,2024,22,8,21
2024-08-21 23:00:00,battery,Battery,-0.140058,2024,23,8,21
2024-08-22 00:00:00,battery,Battery,-3.734225,2024,0,8,22
2024-08-22 01:00:00,battery,Battery,-20.5822,2024,1,8,22
2024-08-22 02:00:00,battery,Battery,-40.780108,2024,2,8,22
2024-08-22 03:00:00,battery,Battery,0.189817,2024,3,8,22
2024-08-22 04:00:00,battery,Battery,0.857658,2024,4,8,22
2024-08-22 05:00:00,battery,Battery,4.057367,2024,5,8,22
2024-08-22 06:00:00,battery,Battery,23.385958,2024,6,8,22
2024-08-22 07:00:00,battery,Battery,15.262033,2024,7,8,22
2024-08-22 08:00:00,battery,Battery,-2.501692,2024,8,8,22
2024-08-22 09:00:00,battery,Battery,-0.638992,2024,9,8,22
2024-08-22 10:00:00,battery,Battery,-19.384167,2024,10,8,22
2024-08-22 11:00:00,battery,Battery,-15.441833,2024,11,8,22
2024-08-22 12:00:00,battery,Battery,-14.009467,2024,12,8,22
2024-08-22 13:00:00,battery,Battery,-26.221308,2024,13,8,22
2024-08-22 14:00:00,battery,Battery,-9.71705,2024,14,8,22
2024-08-22 15:00:00,battery,Battery,-0.093417,2024,15,8,22
2024-08-22 16:00:00,battery,Battery,-2.845817,2024,16,8,22
2024-08-22 17:00:00,battery,Battery,0.159733,2024,17,8,22
2024-08-22 18:00:00,battery,Battery,45.266408,2024,18,8,22
2024-08-22 19:00:00,battery,Battery,35.936383,2024,19,8,22
2024-08-22 20:00:00,battery,Battery,1.163633,2024,20,8,22
2024-08-22 21:00:00,battery,Battery,0.464808,2024,21,8,22
2024-08-22 22:00:00,battery,Battery,0.3745,2024,22,8,22
2024-08-22 23:00:00,battery,Battery,1.155942,2024,23,8,22
2024-08-23 00:00:00,battery,Battery,3.3656,2024,0,8,23
2024-08-23 01:00:00,battery,Battery,4.149542,2024,1,8,23
2024-08-23 02:00:00,battery,Battery,2.0367,2024,2,8,23
2024-08-23 03:00:00,battery,Battery,2.633142,2024,3,8,23
2024-08-23 04:00:00,battery,Battery,4.877675,2024,4,8,23
2024-08-23 05:00:00,battery,Battery,0.5846,2024,5,8,23
2024-08-23 06:00:00,battery,Battery,2.838208,2024,6,8,23
2024-08-23 07:00:00,battery,Battery,5.616492,2024,7,8,23
2024-08-23 08:00:00,battery,Battery,-1.819108,2024,8,8,23
2024-08-23 09:00:00,battery,Battery,-6.596933,2024,9,8,23
2024-08-23 10:00:00,battery,Battery,-10.804242,2024,10,8,23
2024-08-23 11:00:00,battery,Battery,-11.651017,2024,11,8,23
2024-08-23 12:00:00,battery,Battery,-35.918117,2024,12,8,23
2024-08-23 13:00:00,battery,Battery,-33.137675,2024,13,8,23
2024-08-23 14:00:00,battery,Battery,-20.225758,2024,14,8,23
2024-08-23 15:00:00,battery,Battery,-13.213133,2024,15,8,23
2024-08-23 16:00:00,battery,Battery,-3.953392,2024,16,8,23
2024-08-23 17:00:00,battery,Battery,18.356017,2024,17,8,23
2024-08-23 18:00:00,battery,Battery,57.927742,2024,18,8,23
2024-08-23 19:00:00,battery,Battery,35.44705,2024,19,8,23
2024-08-23 20:00:00,battery,Battery,4.370608,2024,20,8,23
2024-08-23 21:00:00,battery,Battery,4.452267,2024,21,8,23
2024-08-23 22:00:00,battery,Battery,-5.573533,2024,22,8,23
2024-08-23 23:00:00,battery,Battery,-3.972575,2024,23,8,23
2024-08-24 00:00:00,battery,Battery,-0.495867,2024,0,8,24
2024-08-24 01:00:00,battery,Battery,-10.395075,2024,1,8,24
2024-08-24 02:00:00,battery,Battery,-7.082733,2024,2,8,24
2024-08-24 03:00:00,battery,Battery,-0.358017,2024,3,8,24
2024-08-24 04:00:00,battery,Battery,-1.257308,2024,4,8,24
2024-08-24 05:00:00,battery,Battery,-0.2068,2024,5,8,24
2024-08-24 06:00:00,battery,Battery,13.534342,2024,6,8,24
2024-08-24 07:00:00,battery,Battery,1.067783,2024,7,8,24
2024-08-24 08:00:00,battery,Battery,1.722775,2024,8,8,24
2024-08-24 09:00:00,battery,Battery,-26.703242,2024,9,8,24
2024-08-24 10:00:00,battery,Battery,-21.378617,2024,10,8,24
2024-08-24 11:00:00,battery,Battery,-4.554775,2024,11,8,24
2024-08-24 12:00:00,battery,Battery,-13.944567,2024,12,8,24
2024-08-24 13:00:00,battery,Battery,-32.931067,2024,13,8,24
2024-08-24 14:00:00,battery,Battery,-25.050175,2024,14,8,24
2024-08-24 15:00:00,battery,Battery,-9.276958,2024,15,8,24
2024-08-24 16:00:00,battery,Battery,-6.841108,2024,16,8,24
2024-08-24 17:00:00,battery,Battery,-1.994792,2024,17,8,24
